Código;Fantasia;Nome completo;Fone;UF;Cidade;Bairro;Endereço;CEP;Latitude;Longitude;F/J;Id. F.Pagto;F.Pagto;Id.Vendedor;Vendedor;Vendedor Externo;Id.Região;Região;CNPJ/CPF;Inscr. Estadual;E-mail;Cliente desde;Operador;Conceito;Id. Principal;Fantasia Principal;Id. Transportadora;Transportadora;Premiação;Frete Cli.;Emp. de Operação;Local de montagem
102.078;15 OFICIO DE NOTAS;15 OFICIO DE NOTAS  SUCURSAL;CEL:21-3233.2600;RJ;RIO DE JANEIRO;CENTRO;Rua do Ouvidor,89;20040-030;-23;-43;J;0;;;;;;;27.150.648/0001-09;;faturacentro@cartorio15.com.br;  /  /;;;102078;15 OFICIO DE NOTAS;0;;;a;0;
324.329;2 M COMUNICACAO VISA;2 M COMUNICACAO VISUAL LTDA;;SP;PORTO FERREIRA;JARDIM SANTA ROSA;Rua Miguel Borelli Thomaz,105;13661-224;-22;-47;J;0;;;;;;;10.809.202/0001-32;555126827112;loja.2m@hotmail.com;  /  /;;;324329;2 M COMUNICACAO VISA;0;;;;0;
329.017;3 J TURISMO;3 J TURISMO E EVENTOS LTDA;;RJ;ARMACAO DOS BUZIOS;MANGUINHOS;Avenida Jose Bento Ribeiro Dantas,1233 - SALA 04;28953-814;29;-23;J;0;;;;;;;07.449.060/0001-35;79979007;financeiro@3jeventos.com.br;  /  /;;;329017;3 J TURISMO;0;;;;0;
321.490;360 IMPRIMIR;360 IMPRIMIR COMPOSICAO DE PROJETOS GRAA;;SP;SÃO PAULO;SÉ;Rua Quintino Bocaiúva,176 - SALA 209;01004-010;0;0;J;0;;;;;;;21.902.826/0001-16;ISENTO;financeiro@360imprimir.com;  /  /;;;321490;360 IMPRIMIR;0;;;a;0;
324.682;3D PRINT COMUNICACAA;3D PRINT COMUNICACAO VISUAL LTDA;;SP;SAO PAULO;CASA VERDE;Rua Marambaia,188;02513-000;-24;-47;J;0;;;;;;;18.341.490/0001-55;;financeiro@tresdprint.com.br;  /  /;;;324682;3D PRINT COMUNICACAA;0;;;;0;
325.120;3R SOLUCOES ELETRIC;VINICIUS RICARDO RADAVELLI;;RS;LAJEADO;SAO BENTO;Rua 1º de Maio,1796 - SALA 101;95903-230;0;0;J;0;;;;;;;31.425.784/0001-23;0720163137;contato@3reletrica.com.br;  /  /;;;325120;3R SOLUCOES ELETRIC;0;;;;0;
326.408;4 ESTACOES BENEFICIA;4 ESTACOES BENEFICIAMENTO DE CALCADOS LA;COM:51-3563.3254;RS;IVOTI;BOM JARDIM;R MARECHAL RONDON,843;93900-000;-30;-51;J;0;;;;;;;04.609.007/0001-66;2000034572;hcalcados@yahoo.com;  /  /;;;326408;4 ESTACOES BENEFICIA;0;;;;0;
329.274;5S INDUSTRIAL;5S INDUSTRIAL SOLUTIONS COMERCIO;;SP;ARACOIABA DA SERRA;JARDIM PLANALTO;RUA JOAO ARANHA,678;18190-000;18;-24;J;0;;;;;;;26.281.254/0001-19;178029053119;site;  /  /;;;329274;5S INDUSTRIAL;0;;;;0;
323.440;7LAB EQUIPAMENTOS;7LAB EQUIPAMENTOS E SERVICOS EIRELI;COM:21-3576.2982;RJ;RIO DE JANEIRO;RAMOS;Estrada do Engenho da Pedra,225;21031-030;-23;-43;J;0;;;;;;;26.337.230/0001-34;87254020;7lab.vendas@gmail.com;  /  /;;;323440;7LAB EQUIPAMENTOS;0;;;;0;
147.888;A EXPONENCIAL ESTANT;A EXPONENCIAL ESTANTES E MOVEIS DE ACO L;COM:11-114221.6676;SP;SAO PAULO;VILA REGENTE FEIJO;Rua Ibo,187;03346-000;-24;-47;J;0;;;;;;;57.281.743/0001-02;;barbara@exponencial.com.br;  /  /;;;147888;A EXPONENCIAL ESTANT;0;;;a;0;
326.382;A LTL DISTRIBUIDORAA;A LTL DISTRIBUIDORA DE EQUIPAMENTOS ELEA;;SP;GUARULHOS;JARDIM VILA GALVAO;Rua Vicente Melro,1000;07056-110;-23;-47;J;0;;;;;;;31.120.837/0001-06;796765729118;altldistribuidora@gmail.com;  /  /;;;326382;A LTL DISTRIBUIDORAA;0;;;;0;
149.381;A. AZALEIA JARDINAGS;A.PDF SILVESTRE SERVICOS DE PODAS E JARA;COM:21-9645.0676;RJ;NILÓPOLIS;OLINDA;Rua Vereador Francisco Nunes,862 - CASA 02;26545-040;0;0;J;0;;;;;;;19.973.439/0001-29;ISENTO;azaleiapodadearvores@gmail.com;  /  /;;;0;;0;;;a;0;
324.235;A.M.J LOCACOES, COMA;A.M.J LOCACOES, COMERCIO E SERVICOS LTDA;;RJ;RIO DE JANEIRO;CENTRO;Rua Barao de Sao Felix,137;20221-424;-23;-43;J;0;;;;;;;26.791.446/0001-75;87290522;mercadolivre@gmail.com;  /  /;;;324235;A.M.J LOCACOES, COMA;0;;;;0;
326.218;A.R.R. BRINDES;A.R.R. BRINDES COMERCIO DE PRODUTOS PROA;;SP;SAO PAULO;SANTANA;Rua Alfredo Pujol,1578;02017-004;-24;-47;J;0;;;;;;;35.008.702/0001-04;126836199110;sabino@redd.com.br;  /  /;;;326218;A.R.R. BRINDES;0;;;;0;
326.182;AA FRIGELAR SA;FRIGELAR COMERCIO E INDUSTRIA LTDA;;RS;PORTO ALEGRE;SAO GERALDO;Avenida Pernambuco,2285;90240-005;-30;-51;J;0;;;;;;;92.660.406/0001-19;;fiscal@frigelar.com.br;  /  /;;;326182;AA FRIGELAR SA;0;;;;0;
146.869;ABRASIVOS AMARANTES;ABRASIVOS AMARANTES LTDA;COM:21-2281.1547;RJ;RIO DE JANEIRO;MARIA DA GRAÇA;Rua Joaquim Melo,30;20785-440;-23;-43;J;0;;;;;;;33.681.750/0001-25;81958955;amarante@aamarante.com.br;  /  /;;;146869;ABRASIVOS AMARANTES;0;;;a;0;
323.590;ABSOLUTTO THE BAR &A;ABSOLUTTO THE BAR & COZINHA EIRELI;;GO;CIDADE OCIDENTAL;CENTRO;SQ 15 Quadra 17,13;72880-552;-16;-48;J;0;;;;;;;18.309.939/0001-06;107091968;davijiinger@hotmail.com;  /  /;;;323590;ABSOLUTTO THE BAR &A;0;;;;0;
100.053;ACEX APOIO  AO COM E;ACEX APOIO  AO COM EXTERIOR LTDA;COM:21-2233.6611;RJ;RIO DE JANEIRO;CENTRO;Rua da Lapa,1206;20021-180;0;0;J;0;;;;;;;29.962.628/0001-50;;tesolin@acexrio.com.br;  /  /;;;0;;0;;;a;0;
323.047;ACO RIO;ACO RIO COMERCIO DE INOX LTDA;;RJ;RIO DE JANEIRO;PARADA DE LUCAS;Rua Amadeu Amaral,17;21250-440;-23;-43;J;0;;;;;;;35.398.903/0001-57;11594298;comercial@acorio.com.br;  /  /;;;323047;ACO RIO;0;;;a;0;
149.469;ACQUA LEVE SISTEMAS;ACQUA LEVE SISTEMAS DE TRATAMENTO DE AGU;COM:21-3860.5654;RJ;RIO DE JANEIRO;BENFICA;Rua Capitão Félix,110 - LJ 1 GALER.5 BL. E;20920-310;0;0;J;0;;;;;;;02.787.123/0001-40;86.271.17-6;vendas@acqualeve.com.br;  /  /;;;0;;0;;;a;0;
328.073;ACQUA SYSTEM;ACQUA SYSTEMS COMERCIO, SERVICOS E SOLUA;COM:11-3458.6976;SP;SAO PAULO;JARDIM IVANA;Avenida Jose Joaquim Seabra,574;05364-000;0;0;J;0;;;;;;;45.756.572/0001-33;134641826119;financeiro@acquasystems.com.br;  /  /;;;328073;ACQUA SYSTEM;0;;;;0;
328.614;ACQUAFIRE;ACQUAFIRE CURSOS & TREINAMENTOS LTDA.;;RJ;DUQUE DE CAXIAS;CENTRO;Avenida Doutor Manuel Teles,31 - LOJA 415;25010-090;0;0;J;0;;;;;;;27.262.855/0001-47;ISENTO;canalacquafire@gmail.com;  /  /;;;328614;ACQUAFIRE;0;;;;0;
328.182;ACRILZANO;ACRILZANO ARTEFATOS DE ACRILICO LTDA;;SP;SAO PAULO;JARDIM JARAGUA;Via Anhanguera,SN;05275-000;-23;-47;J;0;;;;;;;00.081.358/0004-39;138079955114;site;  /  /;;;328182;ACRILZANO;0;;;;0;
151.094;AD POLICROM GRAFICA;AD POLICROM GRAFICA E EDITORA LTDA;COM:21-3878.8100  COM:21-3878.8110;RJ;RIO DE JANEIRO;SÃO CRISTÓVÃO;Rua São Januário,438;20921-003;0;0;J;0;;;;;;;32.679.410/0001-05;11358322;ad;  /  /;;;0;;0;;;a;0;
326.100;ADALBERTO CARLOS DE0;ADALBERTO CARLOS DE SANT ANNA 0838267770;;RJ;RIO DE JANEIRO;VARGEM PEQUENA;Estrada dos Bandeirantes - de 14502 a 16494 - lado par,15078;22783-113;-23;-43;J;0;;;;;;;34.891.312/0001-54;;betotobe1982@gmail.com;  /  /;;;326100;ADALBERTO CARLOS DE0;0;;;;0;
322.475;ADD-THERM INDUSTRIAA;ADD-THERM INDUSTRIA E COMERCIO DE SENSOA;;SP;SÃO PAULO;VILA PRUDENTE;Rua Torquato Tasso,1010;03136-030;-24;-47;J;0;;;;;;;05.703.782/0001-49;116.624.287.116;comex@addtherm.com.br;  /  /;;;322475;ADD-THERM INDUSTRIAA;0;;;a;0;
326.199;ADECIL COMERCIAL LTA;ADECIL COMERCIAL LTDA;;SP;JUNDIAI;JARDIM TREVO;Avenida Osmundo dos Santos Pellegrini,615;13211-377;-23;-47;J;0;;;;;;;05.074.931/0001-58;407398954117;julio@adecil.com.br;  /  /;;;326199;ADECIL COMERCIAL LTA;0;;;;0;
324.579;AF CAMERAS COMERCIO.;AF CAMERAS COMERCIO DE ELETRONICOS LTDA.;COM:11-3316.1302;SP;SAO PAULO;SANTA EFIGENIA;Rua Santa Ifigenia - lado impar,13;01207-001;-24;-47;J;0;;;;;;;32.493.011/0001-47;123482420113;addannpaulo@hotmail.com;  /  /;;;324579;AF CAMERAS COMERCIO.;0;;;;0;
324.047;AGGIO SOLUÇÕES EM CA;AGGIO SOLUÇÕES EM COMUNICAÇÃO VISUAL LTA;;RJ;NITEROI;CENTRO;RUA MARQUES DE CAXIAS,29;24.030.00;-23;-43;J;0;;;;;;;36.430.322/0001-18;11674585;vendas@aggiosolucoes.com.br;  /  /;;;324047;AGGIO SOLUÇÕES EM CA;0;;;;0;
149.989;AGICLEAN DISTRIB PRO;AGICLEAN DISTRIB PROD LIMPEZA EIRELI;COM:21-3190.3333;RJ;RIO DE JANEIRO;OLARIA;Rua Nair,200;21021-600;0;0;J;0;;;;;;;34.364.076/0001-18;11.503.54-3;vendas01@agilizedistribuidora.com.br;  /  /;;;0;;0;;;a;0;
323.997;AGIFACIL DISTRIBUIDI;AGIFACIL DISTRIBUIDORA DE PRODUTOS DE LI;;RJ;RIO DE JANEIRO;OLARIA;Rua Nair,200;21021-600;-23;-43;J;0;;;;;;;41.153.666/0001-67;12009941;andreluiz@agilizedistribuidora.com.br;  /  /;;;323997;AGIFACIL DISTRIBUIDI;0;;;;0;
326.279;AGILITY LAB LABORATA;AGILITY LAB LABORATORIO E SERVICOS OPTIA;COM:41-99692.6984;PR;CURITIBA;CENTRO;Rua Voluntarios da Patria,448;80020-000;-25;-49;J;0;;;;;;;45.891.697/0002-57;041311189057;agilitylaboratoriooptico@outlook.com;  /  /;;;326279;AGILITY LAB LABORATA;0;;;;0;
326.403;AGIS - DISTRIBUICAO;AGIS EQUIPAMENTOS E SERVICOS DE INFORMA.;;ES;SERRA;TERMINAL INTERMODAL DA SERRA;Avenida Setecentos,S/N - GALPAO1 2 3 E 4 QUADRA179;29161-414;-20;-40;J;0;;;;;;;68.993.641/0008-02;083005323;alexandra.viana@agis.com.br;  /  /;;;326403;AGIS - DISTRIBUICAO;0;;;;0;
326.316;AGROMETAL;AGROMETAL COMERCIAL DE FERRAGENS LTDA;;SP;SAO JOSE DO RIO PRETO;DISTRITO INDUSTRIAL WALDEMAR DE OLIVEIRA VERDI;Rua Daniel Antonio de Freitas,1045;15035-540;-21;-49;J;0;;;;;;;48.539.548/0007-26;647523557112;jair.egea@agrometal.com.br;  /  /;;;326316;AGROMETAL;0;;;;0;
326.317;AGROPECAS;AGROPECAS SOUZA LTDA;;SP;SANTO ANDRE;VILA JUNQUEIRA;Rua Brasilio Rodrigues,111;09172-610;-24;-47;J;0;;;;;;;35.642.282/0001-05;121145996111;andersonsouza@agropecassouza.com.br;  /  /;;;326317;AGROPECAS;0;;;;0;
